date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:48:19	3634/3634	U-----	200	untouched ('OK')	image/svg+xml	etag:W/%22e32-18f0b751e74%22	https://fhs-news.org/img/wave.svg	C:/Users/CSAIn/Schedlink/fhs-news.org/img/wave.svg	(from https://fhs-news.org/)
12:48:30	745/745	U-----	200	untouched ('OK')	image/svg+xml	etag:W/%222e9-18f0b751e6f%22	https://fhs-news.org/img/star.svg	C:/Users/CSAIn/Schedlink/fhs-news.org/img/star.svg	(from https://fhs-news.org/)
12:48:32	14470/14470	U-----	200	untouched ('')	application/javascript	etag:%225ecbb529-3886%22	https://cdnjs.cloudflare.com/ajax/libs/chessboard-js/1.0.0/chessboard-1.0.0.min.js	C:/Users/CSAIn/Schedlink/cdnjs.cloudflare.com/ajax/libs/chessboard-js/1.0.0/chessboard-1.0.0.min.js	(from https://fhs-news.org/)
12:48:32	718/718	U-----	200	untouched ('OK')	text/css	etag:%225ecbb529-2ce%22	https://cdnjs.cloudflare.com/ajax/libs/chessboard-js/1.0.0/chessboard-1.0.0.min.css	C:/Users/CSAIn/Schedlink/cdnjs.cloudflare.com/ajax/libs/chessboard-js/1.0.0/chessboard-1.0.0.min.css	(from https://fhs-news.org/)
12:48:35	1240/1240	U-----	200	untouched ('OK')	image/svg+xml	etag:W/%224d8-18f0b751e18%22	https://fhs-news.org/img/lava.svg	C:/Users/CSAIn/Schedlink/fhs-news.org/img/lava.svg	(from https://fhs-news.org/)
12:48:46	1573/1573	U-----	200	untouched ('OK')	image/svg+xml	etag:W/%22625-18f0b751e71%22	https://fhs-news.org/img/vaporsun.svg	C:/Users/CSAIn/Schedlink/fhs-news.org/img/vaporsun.svg	(from https://fhs-news.org/)
12:48:46	1804/1804	U-----	200	untouched ('OK')	image/svg+xml	etag:W/%2270c-18f0b751e11%22	https://fhs-news.org/img/book.svg	C:/Users/CSAIn/Schedlink/fhs-news.org/img/book.svg	(from https://fhs-news.org/)
12:48:46	383/383	U-----	200	untouched ('OK')	image/svg+xml	etag:W/%2217f-18f0b751e24%22	https://fhs-news.org/img/mountains.svg	C:/Users/CSAIn/Schedlink/fhs-news.org/img/mountains.svg	(from https://fhs-news.org/)
12:48:48	1497/1497	U-----	200	untouched ('OK')	image/svg+xml	etag:W/%225d9-18f0b751e11%22	https://fhs-news.org/img/bitcoin.svg	C:/Users/CSAIn/Schedlink/fhs-news.org/img/bitcoin.svg	(from https://fhs-news.org/)
12:49:01	4528/4528	U-----	200	untouched ('OK')	image/svg+xml	etag:W/%2211b0-18f0b751e70%22	https://fhs-news.org/img/sunset.svg	C:/Users/CSAIn/Schedlink/fhs-news.org/img/sunset.svg	(from https://fhs-news.org/)
12:49:01	877/877	U-----	200	untouched ('OK')	image/svg+xml	etag:W/%2236d-18f0b751e67%22	https://fhs-news.org/img/shaded.svg	C:/Users/CSAIn/Schedlink/fhs-news.org/img/shaded.svg	(from https://fhs-news.org/)
12:49:02	5567/5567	U-----	200	untouched ('OK')	image/svg+xml	etag:W/%2215bf-18f0b751e1c%22	https://fhs-news.org/img/lebron.svg	C:/Users/CSAIn/Schedlink/fhs-news.org/img/lebron.svg	(from https://fhs-news.org/)
12:49:04	22717/22717	U-----	200	untouched ('')	image/png	etag:W/%2258bd-18f0b751e12%22	https://fhs-news.org/img/canvas.png	C:/Users/CSAIn/Schedlink/fhs-news.org/img/canvas.png	(from https://fhs-news.org/)
12:49:17	70243/70243	U-----	200	untouched ('')	image/png	etag:W/%2211263-18f0b751e68%22	https://fhs-news.org/img/skyward.png	C:/Users/CSAIn/Schedlink/fhs-news.org/img/skyward.png	(from https://fhs-news.org/)
12:49:17	15458/15458	U-----	200	untouched ('')	image/png	etag:W/%223c62-18f0b751e14%22	https://fhs-news.org/img/clever.png	C:/Users/CSAIn/Schedlink/fhs-news.org/img/clever.png	(from https://fhs-news.org/)
12:49:17	105391/105391	U-----	200	untouched ('')	image/jpeg	etag:W/%2219baf-18f0b751da1%22	https://fhs-news.org/img/The%20Tiger%20Times-logos.jpeg	C:/Users/CSAIn/Schedlink/fhs-news.org/img/The%20Tiger%20Times-logos.jpg	(from https://fhs-news.org/)
12:49:20	47389/47389	U-----	200	untouched ('')	image/png	etag:W/%22b91d-18f0b751e71%22	https://fhs-news.org/img/the340.png	C:/Users/CSAIn/Schedlink/fhs-news.org/img/the340.png	(from https://fhs-news.org/)
12:49:32	2446/2446	U-----	200	untouched ('OK')	image/svg+xml	etag:W/%2298e-18f0b751e18%22	https://fhs-news.org/img/gradcap.svg	C:/Users/CSAIn/Schedlink/fhs-news.org/img/gradcap.svg	(from https://fhs-news.org/)
12:49:33	3436/3436	U-----	200	untouched ('OK')	text/html	etag:W/%22d6c-18f0b751d9f%22	https://fhs-news.org/clubs	C:/Users/CSAIn/Schedlink/fhs-news.org/clubs.html	(from https://fhs-news.org/)
12:49:33	5927/5927	U-----	200	untouched ('OK')	image/svg+xml	etag:W/%221727-18f0b751e14%22	https://fhs-news.org/img/clubs.svg	C:/Users/CSAIn/Schedlink/fhs-news.org/img/clubs.svg	(from https://fhs-news.org/)
12:49:36	7253/7253	U-----	200	untouched ('OK')	text/html	etag:W/%221c55-18f0b751d9f%22	https://fhs-news.org/calendar	C:/Users/CSAIn/Schedlink/fhs-news.org/calendar.html	(from https://fhs-news.org/)
12:49:48	1723/1723	U-----	200	untouched ('OK')	image/svg+xml	etag:W/%226bb-18f0b751e11%22	https://fhs-news.org/img/calendar.svg	C:/Users/CSAIn/Schedlink/fhs-news.org/img/calendar.svg	(from https://fhs-news.org/)
12:49:48	26560/26560	U-----	200	untouched ('')	font/woff	etag:W/%2267c0-18f0b751d9e%22	https://fhs-news.org/fonts/roboto-bold-webfont.woff	C:/Users/CSAIn/Schedlink/fhs-news.org/fonts/roboto-bold-webfont.woff	(from https://fhs-news.org/css/global.css)
12:49:49	26148/26148	U-----	200	untouched ('')	font/woff	etag:W/%226624-18f0b751d9f%22	https://fhs-news.org/fonts/roboto-regular-webfont.woff	C:/Users/CSAIn/Schedlink/fhs-news.org/fonts/roboto-regular-webfont.woff	(from https://fhs-news.org/css/global.css)
12:49:51	17204/17204	U-----	200	untouched ('OK')	image/svg+xml	etag:W/%224334-18f0b751e1d%22	https://fhs-news.org/img/lock.svg	C:/Users/CSAIn/Schedlink/fhs-news.org/img/lock.svg	(from https://fhs-news.org/css/home.css)
12:50:04	145/145	U-----	200	untouched ('OK')	image/svg+xml	etag:W/%2291-18f0b751e12%22	https://fhs-news.org/img/checkmark.svg	C:/Users/CSAIn/Schedlink/fhs-news.org/img/checkmark.svg	(from https://fhs-news.org/css/home.css)
12:50:04	1446/1446	U-----	200	untouched ('OK')	text/css	etag:W/%225a6-18f0b751d8a%22	https://fhs-news.org/css/info.css	C:/Users/CSAIn/Schedlink/fhs-news.org/css/info.css	(from https://fhs-news.org/info)
12:50:05	2521/2521	U-----	200	untouched ('OK')	text/css	etag:W/%229d9-18f0b751d89%22	https://fhs-news.org/css/club.css	C:/Users/CSAIn/Schedlink/fhs-news.org/css/club.css	(from https://fhs-news.org/clubs)
12:50:05	4871/4871	U-----	200	untouched ('')	application/javascript	etag:W/%221307-18f0b751e75%22	https://fhs-news.org/js/clubs.js	C:/Users/CSAIn/Schedlink/fhs-news.org/js/clubs.js	(from https://fhs-news.org/clubs)
12:50:05	17504/17504	U-----	200	untouched ('')	application/javascript	etag:W/%224460-18f0b751e74%22	https://fhs-news.org/js/calendar.js	C:/Users/CSAIn/Schedlink/fhs-news.org/js/calendar.js	(from https://fhs-news.org/calendar)
12:50:05	11233/11233	U-----	200	untouched ('OK')	text/css	etag:W/%222be1-18f0b751d89%22	https://fhs-news.org/css/calendar.css	C:/Users/CSAIn/Schedlink/fhs-news.org/css/calendar.css	(from https://fhs-news.org/calendar)
